Gene_ID	Name	SRR1796061	SRR1796064	SRR1796094	SRR1796237	SRR1796312	SRR1796318
ENSMUSG00000000001	Gnai3	290	363	472	198	343	484
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	4	7	8	2	6	10
ENSMUSG00000000031	H19	2	0	1	2	4	0
ENSMUSG00000000037	Scml2	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	5235	5426	6784	3625	3911	5435
ENSMUSG00000000056	Narf	291	343	394	208	230	337
ENSMUSG00000000058	Cav2	10	12	10	7	18	19
ENSMUSG00000000078	Klf6	27	22	30	33	94	86
ENSMUSG00000000085	Scmh1	27	26	33	15	24	36
ENSMUSG00000000088	Cox5a	277	270	362	148	237	287
ENSMUSG00000000093	Tbx2	8	12	12	3	9	17
ENSMUSG00000000094	Tbx4	0	1	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	3	2	9	7	12	9
ENSMUSG00000000125	Wnt3	0	0	0	0	1	0
ENSMUSG00000000126	Wnt9a	0	0	4	1	3	0
ENSMUSG00000000127	Fer	33	41	57	27	45	61
ENSMUSG00000000131	Xpo6	128	140	158	116	149	177
ENSMUSG00000000134	Tfe3	87	104	111	23	43	73
ENSMUSG00000000142	Axin2	12	20	18	10	14	23
ENSMUSG00000000148	Brat1	28	27	43	42	32	54
ENSMUSG00000000149	Gna12	373	387	469	428	340	549
ENSMUSG00000000154	Slc22a18	182	203	253	198	244	283
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	34	32	51	26	37	49
ENSMUSG00000000167	Pih1d2	2	3	1	0	1	2
ENSMUSG00000000168	Dlat	106	125	209	78	113	149
ENSMUSG00000000171	Sdhd	508	490	702	293	339	477
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	53	71	89	22	73	79
ENSMUSG00000000194	Gpr107	79	83	89	57	89	111
ENSMUSG00000000197	Nalcn	0	0	1	0	1	0
ENSMUSG00000000202	Btbd17	0	0	0	0	0	0
ENSMUSG00000000204	Slfn4	0	0	0	1	10	1
ENSMUSG00000000214	Th	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
